Movie ID,Director,Cast
1,Francis Ford Coppola,Marlon Brando
2,Francis Ford Coppola,Al Pacino
3,Robert Redford,Donald Sutherland
4,David Lean,Peter O'Toole
6,Steven Spielberg,Richard Dreyfuss
7,Sergio Leone,Henry Fonda
8,Robert Aldrich,Lee Marvin
10,Bob Fosse,Liza Minnelli
11,Alfred Hitchcock,Anthony Perkins
12,Alfred Hitchcock,Laurence Olivier
13,Alfred Hitchcock,Cary Grant
14,David Lean,William Holden
15,David Lean,Omar Sharif
16,Sergio Leone,Clint Eastwood
19,Stanley Donen,Cary Grant
20,Francis Ford Coppola,Gene Hackman
21,Alfred Hitchcock,James Stewart
22,Randal Kleiser,Brooke Shields
23,Alfred Hitchcock,Tippi Hedren
24,John Boorman,Jon Voight
25,John Badham,John Travolta
26,Sean S. Cunningham,Betsy Palmer
27,Sidney Lumet,Al Pacino
28,Alfred Hitchcock,James Stewart
30,Stanley Kramer,Spencer Tracy
31,George Cukor,Audrey Hepburn
32,Ridley Scott,Sigourney Weaver
33,George Lucas,Mark Hamill
34,Irvin Kershner,Mark Hamill
35,Brian De Palma,Sissy Spacek
36,Robert Rossen,Paul Newman
37,Sidney Lumet,Henry Fonda
38,Orson Welles,Orson Welles
39,Carol Reed,Orson Welles
40,Carol Reed,Mark Lester
41,Francis Ford Coppola,Martin Sheen
42,Alfred Hitchcock,Ray Milland
45,Joseph L. Mankiewicz,Bette Davis
47,Orson Welles,Charlton Heston
48,Mel Brooks,Cleavon Little
50,Lewis Gilbert,Roger Moore
51,Steven Spielberg,Roy Scheider
52,William Friedkin,Gene Hackman
53,William Friedkin,Ellen Burstyn
56,Wolfgang Petersen,Jürgen Prochnow
57,Federico Fellini,Marcello Mastroianni
58,Federico Fellini,Marcello Mastroianni
59,John G. Avildsen,Sylvester Stallone
60,Woody Allen,Woody Allen
61,Sidney Lumet,Al Pacino
62,Terence Young,Sean Connery
63,Stanley Kubrick,Peter Sellers
64,Franklin J. Schaffner,George C. Scott
65,Terry Gilliam,Terry Jones
66,Terry Jones,Graham Chapman
68,John Landis,John Belushi
69,Mel Brooks,Gene Wilder
70,John Sturges,Steve McQueen
71,Peter Yates,Steve McQueen
73,Guy Hamilton,Roger Moore
74,Steven Spielberg,Harrison Ford
75,Victor Fleming,King Vidor
76,Stanley Kubrick,James Mason
77,Fred Zinnemann,Burt Lancaster
78,Frank Capra,James Stewart
79,Jerome Robbins,Robert Wise
82,Richard Brooks,Elizabeth Taylor
83,John Carpenter,Donald Pleasence
84,John Sturges,Yul Brynner
85,Robert Wise,Julie Andrews
86,Elia Kazan,Marlon Brando
87,Alfred Hitchcock,Rod Taylor
88,Clyde Geronimi,Hamilton Luske
89,Billy Wilder,Jack Lemmon
90,Billy Wilder,Marilyn Monroe
92,Richard Donner,Christopher Reeve
93,Robert Altman,Donald Sutherland
94,Carl Reiner,Steve Martin
95,Stanley Kubrick,Anthony Mann
96,Stanley Kubrick,Jack Nicholson
97,Woody Allen,Woody Allen
98,Stanley Kubrick,Malcolm McDowell
101,Jim Abrahams,David Zucker
102,Billy Wilder,Fred MacMurray
104,Mike Nichols,Dustin Hoffman
105,George Roy Hill,Paul Newman
106,John Schlesinger,Dustin Hoffman
107,John Schlesinger,Dustin Hoffman
108,Alan J. Pakula,Dustin Hoffman
109,Wolfgang Reitherman,Phil Harris
110,Wolfgang Reitherman,Phil Harris
111,Martin Scorsese,Robert De Niro
112,William Wyler,Myrna Loy
115,Wolfgang Reitherman,David Hand
116,Terry Gilliam,Sean Connery
117,Guy Hamilton,Roger Moore
118,William Wyler,Barbra Streisand
119,Richard Lester,John Lennon
120,Don Siegel,Clint Eastwood
121,Jim Sharman,Tim Curry
122,Guy Hamilton,Sean Connery
123,Ken Hughes,Dick Van Dyke
124,Joshua Logan,Richard Harris
125,Richard Lester,Gene Hackman
126,Ted Berman,Richard Rich
127,Robert Stevenson,Julie Andrews
128,Franklin J. Schaffner,Charlton Heston
129,Elia Kazan,Vivien Leigh
130,Victor Fleming,George Cukor
131,Ken Annakin,Andrew Marton
132,Sam Peckinpah,William Holden
133,Clyde Geronimi,Wilfred Jackson
134,Billy Wilder,Tyrone Power
135,Stanley Kramer,Spencer Tracy
138,Martin Scorsese,Robert De Niro
139,Stanley Kubrick,Keir Dullea
140,Ronald Neame,Gene Hackman
142,Michael Cimino,Robert De Niro
143,John Landis,David Naughton
144,Arthur Hiller,Ali MacGraw
146,George Roy Hill,Paul Newman
148,Don Siegel,Clint Eastwood
149,Michael Gordon,Rock Hudson
150,John Glen,Roger Moore
151,Wolfgang Reitherman,Clyde Geronimi
152,Dennis Hopper,Peter Fonda
153,George Miller,Mel Gibson
155,Walter Hill,Michael Beck
156,John Milius,Arnold Schwarzenegger
157,Richard Donner,Gregory Peck
158,John Ford,Henry Fonda
159,Paul Bartel,David Carradine
160,Sam Raimi,Bruce Campbell
161,Akira Kurosawa,Toshirô Mifune
162,Charles Chaplin,Charles Chaplin
165,Alfred Hitchcock,Cary Grant
166,Stanley Donen,Gene Kelly
168,John Huston,Humphrey Bogart
169,Sergio Leone,Clint Eastwood
174,Frank Capra,Clark Gable
176,John Huston,Humphrey Bogart
178,Gillo Pontecorvo,Brahim Hadjadj
179,William Wyler,Charlton Heston
182,Alfred Hitchcock,Farley Granger
183,Fred Zinnemann,Gary Cooper
184,Charles Laughton,Robert Mitchum
186,Robert Clouse,Bruce Lee
187,Norman Jewison,Topol
188,Peter Bogdanovich,Timothy Bottoms
189,Robert Stevenson,Ward Kimball
190,Guy Hamilton,Sean Connery
191,Mel Stuart,Gene Wilder
192,George Lucas,Richard Dreyfuss
193,Bernardo Bertolucci,Marlon Brando
195,Franklin J. Schaffner,Steve McQueen
197,Sidney Lumet,Albert Finney
198,Franco Zeffirelli,Leonard Whiting
199,Colin Higgins,Jane Fonda
202,Howard Hawks,John Wayne
203,David Lynch,Jack Nance
205,Charles Chaplin,Charles Chaplin
206,George A. Romero,David Emge
207,Tobe Hooper,Marilyn Burns
209,Fritz Lang,Brigitte Helm
212,Martin Scorsese,Robert De Niro
214,Sergio Leone,Clint Eastwood
215,Alan Parker,Brad Davis
216,Sydney Pollack,Robert Redford
217,Stuart Rosenberg,Paul Newman
218,Tod Browning,Wallace Ford
220,Robert Benton,Dustin Hoffman
221,Merian C. Cooper,Ernest B. Schoedsack
222,William Cottrell,David Hand
223,Terence Young,Sean Connery
224,Alejandro Jodorowsky,Alejandro Jodorowsky
225,Michael Anderson,Michael York
226,Stuart Rosenberg,Robert Redford
227,Milos Forman,John Savage
228,Akira Kurosawa,Toshirô Mifune
229,Clint Eastwood,Clint Eastwood
232,John Carpenter,Kurt Russell
233,Terence Young,Sean Connery
235,Akira Kurosawa,Takashi Shimura
236,Peter R. Hunt,George Lazenby
238,Mel Brooks,Mel Brooks
239,John Boorman,Nigel Terry
241,Philip Kaufman,Donald Sutherland
242,Jeannot Szwarc,Roy Scheider
243,Franco Zeffirelli,Brooke Shields
244,Robert Altman,Elliott Gould
246,Robert Wise,William Shatner
247,Desmond Davis,Laurence Olivier
248,Richard Fleischer,Charlton Heston
249,Lewis Milestone,Frank Sinatra
250,John Ford,Henry Hathaway
251,Roger Donaldson,Tom Cruise
252,John Landis,Steve Martin
253,Ron Howard,Tom Hanks
254,Brian De Palma,Al Pacino
255,Howard Deutch,Molly Ringwald
256,Barry Levinson,Robin Williams
257,Paul Michael Glaser,Arnold Schwarzenegger
258,Alan J. Pakula,Meryl Streep
259,Sydney Pollack,Meryl Streep
260,John Hughes,Anthony Michael Hall
261,Martin Scorsese,Robert De Niro
262,Frank Oz,Rick Moranis
263,Rob Reiner,Wil Wheaton
264,Oliver Stone,Charlie Sheen
265,Richard Attenborough,Ben Kingsley
266,Kevin Reynolds,Kevin Costner
267,Richard Donner,Sean Astin
268,Michael Pressman,Paige Turco
269,Oliver Stone,Val Kilmer
270,Andrei Tarkovsky,Alisa Freyndlikh
271,Giuseppe Tornatore,Philippe Noiret
272,John Carpenter,Kurt Russell
273,Herbert Ross,Kevin Bacon
274,Jonathan Demme,Jodie Foster
275,James Cameron,Arnold Schwarzenegger
276,Ron Underwood,Billy Crystal
277,Richard Donner,Mel Gibson
278,Robert Zemeckis,Michael J. Fox
279,Martin Brest,Eddie Murphy
280,Ron Howard,Kurt Russell
281,Frank Oz,Bill Murray
282,Joel Schumacher,Jason Patric
283,Ridley Scott,Harrison Ford
284,Sydney Pollack,Dustin Hoffman
285,Adrian Lyne,Michael Douglas
286,Joe Johnston,Billy Campbell
287,Kathryn Bigelow,Patrick Swayze
288,Roland Joffé,Sam Waterston
289,Ridley Scott,Susan Sarandon
290,Jeremiah S. Chechik,Chevy Chase
291,Paul Brickman,Tom Cruise
292,George Miller,Mel Gibson
293,Tony Scott,Tom Cruise
294,Tim Burton,Alec Baldwin
295,Steven Soderbergh,James Spader
296,Jim Abrahams,Charlie Sheen
297,John Hughes,Molly Ringwald
298,Martin Brest,Robert De Niro
299,Milos Forman,F. Murray Abraham
300,John Hughes,Matthew Broderick
301,Robert Zemeckis,Michael J. Fox
302,James Cameron,Sigourney Weaver
