Movie ID,Movie Name,Release Year,Duration,IMDB Rating,Metascore,Votes,Genre,Gross
1,The Godfather,1972,175,9.2,100.0,2002655,"Crime, Drama",134970000
2,The Godfather Part II,1974,202,9.0,90.0,1358608,"Crime, Drama",57300000
3,Ordinary People,1980,124,7.7,86.0,56476,Drama,54800000
4,Lawrence of Arabia,1962,218,8.3,100.0,313044,"Adventure, Biography, Drama",44820000
6,Close Encounters of the Third Kind,1977,138,7.6,90.0,216050,"Drama, Sci-Fi",132090000
7,Once Upon a Time in the West,1968,166,8.5,82.0,348110,Western,5320000
8,The Dirty Dozen,1967,150,7.7,73.0,78858,"Action, Adventure, War",45300000
10,Cabaret,1972,124,7.8,80.0,59119,"Drama, Music, Musical",42770000
11,Psycho,1960,109,8.5,97.0,715718,"Horror, Mystery, Thriller",32000000
12,Rebecca,1940,130,8.1,86.0,146211,"Drama, Mystery, Romance",4360000
13,Notorious,1946,102,7.9,100.0,106938,"Drama, Film-Noir, Romance",10460000
14,The Bridge on the River Kwai,1957,161,8.1,88.0,232645,"Adventure, Drama, War",44910000
15,Doctor Zhivago,1965,197,7.9,69.0,81820,"Drama, Romance, War",111720000
16,"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,808059,"Adventure, Western",6100000
19,Charade,1963,113,7.8,83.0,85196,"Comedy, Mystery, Romance",13470000
20,The Conversation,1974,113,7.7,87.0,121187,"Drama, Mystery, Thriller",4420000
21,Vertigo,1958,128,8.3,100.0,425385,"Mystery, Romance, Thriller",3200000
22,The Blue Lagoon,1980,104,5.8,31.0,76217,"Adventure, Drama, Romance",58850000
23,Marnie,1964,130,7.1,73.0,53670,"Crime, Drama, Mystery",7000000
24,Deliverance,1972,109,7.7,80.0,118842,"Adventure, Drama, Thriller",7060000
25,Saturday Night Fever,1977,118,6.8,77.0,87091,"Drama, Music",94210000
26,Friday the 13th,1980,95,6.4,22.0,156829,"Horror, Mystery, Thriller",39750000
27,Dog Day Afternoon,1975,125,8.0,86.0,272254,"Biography, Crime, Drama",50000000
28,Rear Window,1954,112,8.5,100.0,520357,"Mystery, Thriller",36760000
30,"It's a Mad, Mad, Mad, Mad World",1963,210,7.5,59.0,45881,"Action, Adventure, Comedy",46300000
31,My Fair Lady,1964,170,7.7,95.0,101519,"Drama, Family, Musical",72000000
32,Alien,1979,117,8.5,89.0,945866,"Horror, Sci-Fi",78900000
33,Star Wars,1977,121,8.6,90.0,1444539,"Action, Adventure, Fantasy",322740000
34,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1374400,"Action, Adventure, Fantasy",290480000
35,Carrie,1976,98,7.4,86.0,205836,"Horror, Mystery",33800000
36,The Hustler,1961,134,8.0,90.0,86587,"Drama, Sport",8279999
37,12 Angry Men,1957,96,9.0,97.0,860130,"Crime, Drama",4360000
38,Citizen Kane,1941,119,8.3,100.0,464602,"Drama, Mystery",1590000
39,The Third Man,1949,104,8.1,97.0,181240,"Film-Noir, Mystery, Thriller",450000
40,Oliver!,1968,153,7.4,74.0,41277,"Drama, Family, Musical",16800000
41,Apocalypse Now,1979,147,8.4,94.0,707267,"Drama, Mystery, War",83470000
42,Dial M for Murder,1954,105,8.2,75.0,188119,"Crime, Thriller",10000
45,All About Eve,1950,138,8.2,98.0,138377,Drama,10000
47,Touch of Evil,1958,95,8.0,99.0,109503,"Crime, Drama, Film-Noir",2240000
48,Blazing Saddles,1974,93,7.7,73.0,151809,"Comedy, Western",119500000
50,The Spy Who Loved Me,1977,125,7.0,55.0,115921,"Action, Adventure, Thriller",46800000
51,Jaws,1975,124,8.1,87.0,656761,"Adventure, Mystery, Thriller",260000000
52,The French Connection,1971,104,7.7,94.0,135004,"Action, Crime, Drama",15630000
53,The Exorcist,1973,122,8.1,83.0,452972,Horror,232910000
56,Das Boot,1981,149,8.4,85.0,263525,"Drama, War",11490000
57,8½,1963,138,8.0,93.0,124834,Drama,50000
58,La dolce vita,1960,174,8.0,95.0,77951,"Comedy, Drama",19520000
59,Rocky,1976,120,8.1,70.0,625924,"Drama, Sport",117240000
60,Annie Hall,1977,93,8.0,92.0,277594,"Comedy, Romance",39200000
61,Serpico,1973,130,7.7,83.0,134207,"Biography, Crime, Drama",29800000
62,Dr. No,1962,110,7.2,78.0,178878,"Action, Adventure, Thriller",16070000
63,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,516382,"Comedy, War",280000
64,Patton,1970,172,7.9,86.0,107677,"Biography, Drama, War",61700000
65,Monty Python and the Holy Grail,1975,91,8.2,91.0,568591,"Adventure, Comedy, Fantasy",1230000
66,Life of Brian,1979,94,8.0,77.0,420936,Comedy,20050000
68,The Blues Brothers,1980,133,7.9,60.0,213702,"Action, Adventure, Comedy",57230000
69,Young Frankenstein,1974,106,8.0,83.0,168404,Comedy,86300000
70,The Great Escape,1963,172,8.2,86.0,258019,"Adventure, Drama, Thriller",12100000
71,Bullitt,1968,114,7.4,81.0,75535,"Action, Crime, Thriller",42300000
73,Live and Let Die,1973,121,6.7,55.0,115093,"Action, Adventure, Thriller",35380000
74,Raiders of the Lost Ark,1981,115,8.4,86.0,1033883,"Action, Adventure",248160000
75,The Wizard of Oz,1939,102,8.1,92.0,427106,"Adventure, Family, Fantasy",2080000
76,Lolita,1962,153,7.5,79.0,108444,"Crime, Drama, Romance",9250000
77,From Here to Eternity,1953,118,7.6,85.0,50657,"Drama, Romance, War",30500000
78,Mr. Smith Goes to Washington,1939,129,8.1,73.0,121085,"Comedy, Drama",9600000
79,West Side Story,1961,153,7.6,86.0,120824,"Crime, Drama, Musical",43660000
82,Cat on a Hot Tin Roof,1958,108,7.9,84.0,53257,Drama,17570000
83,Halloween,1978,91,7.7,90.0,305684,"Horror, Thriller",47000000
84,The Magnificent Seven,1960,128,7.7,74.0,102205,"Action, Adventure, Drama",4910000
85,The Sound of Music,1965,172,8.1,63.0,259632,"Biography, Drama, Family",163210000
86,On the Waterfront,1954,108,8.1,91.0,164105,"Crime, Drama, Thriller",9600000
87,The Birds,1963,119,7.6,90.0,203800,"Drama, Horror, Mystery",11400000
88,One Hundred and One Dalmatians,1961,79,7.3,83.0,181498,"Animation, Adventure, Comedy",144880000
89,The Apartment,1960,125,8.3,94.0,195905,"Comedy, Drama, Romance",18600000
90,Some Like It Hot,1959,121,8.2,98.0,282633,"Comedy, Music, Romance",25000000
92,Superman,1978,143,7.4,82.0,186918,"Action, Adventure, Sci-Fi",134220000
